	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	aardolie		znw					211
de	aardrijkskunde		znw					212
	aards		bnw			van op de aarde		213
	aarzelen		ww		B1	twijfelen, niet weten wat je moet zeggen/doen		214
de	aas		znw			🂡 1 of A		215
het	aas		znw			eten (bv. wormen) om vissen te vangen		216
het	aas		znw			prooi, eten voor wilde dieren		216
het	abces		znw					217
de	abdij		znw					218
het	abdijbier		znw					219
de	abdijkaas		znw					220
het	ABN		znw			oude term voor Standaardnederlands		221
	abnormaal		bnw			vreemd, niet normaal		222
de	abonnee		znw					223
het	abonnement		znw					224
	abonneren		ww					225
de	abortus		znw					226
de	abrikoos		znw			soort geel, rond fruit		227
	abrupt		bnw					228
	absent		bnw			afwezig		229
het	absenteïsme		znw			herhaaldelijke of problematische afwezigheid		230
	absoluut		bw		A2	helemaal, zeker	Je moet absoluut komen!	231
	absorberen		ww					232
	abstract		bnw			 niet concreet		233
het	abstract	ɛp­strɛkt	znw		C1	samenvatting van een paper		234
de	abt		znw					235
het	abuis		znw					236
het	ABVV		znw			BE		237
de	academicus		znw					238
de	academie		znw					239
	academisch		bnw					240
het	accent		znw			nadruk, klemtoon		241
het	accent		znw			speciale of karakteristieke uitspraak		241
het	accent		znw			speciaal teken op/aan een letter		241
het	accent aigu		znw			´ op é		242
het	accent circonflexe		znw			^ op ê		243
het	accent grave		znw			` op è		244
	acceptabel		bnw					245
	accepteren		ww					246
de	acceptgirokaart		znw					247
de	accijns		znw					248
de	accolade		znw			{ of } 		249
de	accommodatie		znw					250
de/het	accordeon		znw					251
de	accountant		znw					252
de	accu		znw					253
	accuraat		bnw					254
	ach		tsw		A2	dit zeg je voor iets jammers of triests	Ach nee, we zijn te laat!	255
de	achilleshiel		znw		C1	zwak punt		256
de	achillespees		znw		C1	pees boven je hiel	Ik heb mijn achillespees verrekt met deze slechte loopschoenen...	257
	acht		tw		A1	8	Drie plus vijf is acht.	258
de	acht		znw					259
	achteloos		bnw					260
	achten		ww		B1	vinden; menen		261
	achter		vz		A1	↔ voor	Zeynep zit achter Laura in de bus.	262
	achter		bw		A2	na de rest		263
	achteraan		bw			laatste in de rij		264
	achteraf		bw		B1	na het einde		265
de	achterban		znw					266
	achterblijven		ww		B1	niet meegaan		267
de	achterbuurt		znw					268
de	achterdeur		znw					269
	achterdochtig		bnw					270
	achtereen		bw			de een na de ander (zonder pauze)		271
	achtereenvolgend		bnw			na elkaar		272
	achtereenvolgens		bw			daarna zonder pauze		273
	achteren		bw					274
de	achtergrond		znw		A2	context, omgeving van een scène		275
de	achtergrond		znw			wat er vooraf gebeurd is		275
	achterhaald		bnw			ouderwets, cliché		276
	achterhalen		ww			informatie vinden, te weten komen		277
het	achterhoofd		znw					278
	achterin		bw					279
de	achterkant		znw		A2	↔ voorkant		280
het	achterkleinkind		znw					281
	achterlaten		ww					282
	achterliggen		ww					283
	achterlijk		bnw					284
	achterna		bw					285
de	achternaam		znw		A1	familienaam	Ik ben Steven Vos; Vos is mijn achternaam.	286
de	achterneef		znw		B2	neef van je neef/nicht	Toon is mijn achterneef; ik zie hem alleen op grote familiefeesten.	287
de	achterneef		znw		B2	jongen met dezelfde overgrootouder		287
de	achterneef		znw		B2	zoon van je neef/nicht		287
de	achternicht		znw		B2	nicht van je neef/nicht		288
de	achternicht		znw		B2	meisje met dezelfde overgrootouder		288
de	achternicht		znw		B2	dochter van je neef/nicht		288
	achterop		bw					289
	achterover		bw					290
	achterstaan		ww					291
	achterstallig		bnw					292
de	achterstand		znw					293
	achterstevoren		bw					294
de	achtertuin		znw					295
	achteruit		bw		B1			296
de	achteruitgang		znw					297
	achtervolgen		ww					298
de	achtervolging		znw					299
	achterwege		bw					300
het	achterwerk		znw					301
	-achtig							302
de	achting		znw					303
	achtste		bnw			8ste		304
	achttien		tw			18		305
