	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	tochten		ww*	tocht, tochtte, getocht*	B2*		
	toe		tsw; vz; bw*	*	A2*	gesloten	
	toe		tsw; vz; bw*	*	A2*	alsjeblieft	
	toebedelen		ww*	toebedeel, toebedeelde, toebedeeld*	B2*		
het	toebehoren		ww; znw*	toebehoren; /*	B2*		
	toebrengen		ww*	breng toe, bracht toe, toegebracht*	B2*		
	toedienen		ww*	dien toe, toediende, toegediend*	B2*		
het	toedoen		ww; znw*	/; /*	B2*		
de	toedracht		znw*	toedrachten; /*	B2*		
zich	toe-eigenen		ww*	eigen toe, toe-eigende, toegeëigend*	B2*		
de	toegang		znw*	toegangen; /*	B1*		
het	toegangsbewijs		znw*	toegangsbewijzen; toegangsbewijsje*	B2*		
	toegankelijk		bnw*	toegankelijke; toegankelijker, toegankelijkst*	B1*		
	toegedaan		bnw*	toegedane; /, /*	B2*		
	toegeven		ww*	geef toe, gaf toe, toegegeven*	B1*		
	toegeven aan						
de	toegift		znw*	toegiften; toegiftje*	B2*		
de	toehoorder		znw*	toehoorders; toehoordertje*	B2*		
de	toehoorster		znw*	toehoorsters; /*	B2*		
	toejuichen		ww*	juich toe, toejuichte, toegejuicht*	B1*		
de	toekan		znw*	toekans; /*	B2*	soort papegaai	
	toekennen		ww*	ken toe, toekende, toegekend*	B2*		
	toekijken		ww*	toekijk, keek toe, toegekeken*	B1*		
	toekomen		ww*	toekom, toekwam, toegekomen*	B2*	genoeg hebben	
	toekomen aan						
de	toekomst		znw*	toekomsten; /*	A2*		
	toekomstig		bnw*	toekomstige; toekomstiger, toekomstigst*	B2*		
de	toelage		znw*	toelagen; /*	B2*		
	toelaten		ww*	laat toe, liet toe, toegelaten*	B1*		
zich	toeleggen op						
	toelichten		ww*	licht toe, lichtte toe, toegelicht*	B1*		
de	toelichting		znw*	toelichtingen; /*	B1*		
de	toeloop		znw*	/; /*	B2*		
het	toemaatje						
	toen		bw; ovw*	*	A2*		
	toen		bw; ovw*	*	A2*		
de	toenadering		znw*	toenaderingen; /*	B2*		
de	toename		znw*	toenamen; /*	B2*		
	toenmalig		bnw*	toenmalige; /, /*	B2*		
	toepasselijk		bnw*	toepasselijke; toepasselijker, toepasselijkst*	B2*		
	toepassen		ww*	toepas, toepaste, toegepast*	B2*		
de	toepassing		znw*	toepassingen; toepassinkje*	B2*		
de	toer		znw*	toeren; toertje*	B2*		
	toereikend		bnw*	toereikende; toereikender, toereikendst*	B2*		
	toerekeningsvatbaar		bnw*	toerekeningsvatbare; toerekeningsvatbaarder, toerekeningsvatbaarst*	B2*		
	toeren		ww*	toer, toerde, getoerd*	B2*		
het	toerisme		znw*	/; /*	B1*		
de	toerist		znw*	toeristen; toeristje*	B1*		
het	toernooi		znw*	toernooien; toernooitje*	B1*		
	toeschietelijk		bnw*	toeschietelijke; toeschietelijker, toeschietelijkst*	B2*		
de	toeschouwer		znw*	toeschouwers; toeschouwertje*	B2*		
de	toeschouwster		znw*	toeschouwsters; /*	B2*		
	toeschrijven aan						
	toeslaan		ww*	toesla, toesloeg, toegeslagen*	B2*		
de	toeslag		znw*	toeslagen; /*	B1*		
de	toespeling		znw*	toespelingen; toespelinkje*	B2*		
