	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	ex-						
het	examen		znw*	examens; examentje*	A2*		
de	examinator		znw*	examinatoren; /*	B2*		
	excentriek		znw; bnw*	excentrieke; excentrieker, excentriekst*	B2*		
het	exces		znw*	excessen; excesje*	B2*		
	exclusief		bnw*	exclusieve; exclusiever, exclusiefst*	B2*		
	exclusief		bnw*	exclusieve; exclusiever, exclusiefst*	B2*		
de	excursie		znw*	excursies; /*	B2*		
het	excuus		znw*	excuses; excuusje*	B1*		
	executeren		ww*	executeer, executeerde, geëxecuteerd*	B2*		
de	executie		znw*	executies; /*	B2*		
het	exemplaar		znw*	exemplaren; exemplaartje*	B2*		
	exotisch		bnw*	exotische; exotischer, /*	B1*		
de	expansie		znw*	expansies; /*	B2*		
de	expat		znw*	expats; expatje*	B2*		
de	expeditie		znw*	expedities; /*	B2*		
het	experiment		znw*	experimenten; experimentje*	B2*		
	experimenteel		bnw*	experimentele; experimenteler, experimenteelst*	B2*		
	experimenteren		ww*	experimenteer, experimenteerde, geëxperimenteerd*	B2*		
de	expert		znw*	experten; expertje*	B1*		
de	expertise		znw*	expertises; /*	B2*		
	expliciet		bnw*	expliciete; explicieter, explicietst*	B2*		
	exploderen		ww*	explodeer, explodeerde, geëxplodeerd*	B2*		
	exploiteren		ww*	exploiteer, exploiteerde, geëxploiteerd*	B2*		
de	explosie		znw*	explosies; explosietje*	B1*		
	explosief		znw; bnw*	explosieve; explosiever, explosiefst*	B2*		
het	explosief		znw; bnw*	explosieven; /*	B2*		
de	export		znw*	exporten; exportje*	B2*		
	exporteren		ww*	exporteer, exporteerde, geëxporteerd*	B1*		
	exposeren		ww*	exposeer, exposeerde, geëxposeerd*	B2*		
de	expositie		znw*	exposities; expositietje*	B2*		
	expres		znw; bnw*	expresse; /, /*	B1*		
de	expressie		znw*	expressies; /*	B2*		
de	expresweg		znw*	expreswegen; /*	B2*		
de	extase		znw*	extases; /*	B2*		
	extern		bnw*	externe; externer, externst*	B2*		
	extra		znw; bnw; bw*	/; /, /*	A2*	meer	
het	extraatje						
	extravert		bnw; znw*	extraverte; extraverter, extravertst*	B2*		
	extreem		znw; bnw*	extreme; extremer, extreemst*	B2*		
	extreem		znw; bnw*	extreme; extremer, extreemst*	B2*		
de	extremist		znw*	extremisten; /*	B1*		
de	ezel		znw*	ezels; ezeltje*	B1*		
de	ezel		znw*	ezels; ezeltje*	B1*		
