	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	aanvullen		ww*	aanvul, vulde aan, aangevuld*	B1*		
de	aanvulling		znw*	aanvullingen; aanvullinkje*	B2*		
	aanwakkeren		ww*	aanwakker, aanwakkerde, aangewakkerd*	B2*		
	aanwenden		ww*	aanwend, wendde aan, aangewend*	B2*		
zich	aanwennen		ww*	aanwen, wende aan, aangewend*	B2*		
	aanwerven		ww*	aanwerf, wierf aan, aangeworven*	B2*	(BE)	
	aanwezig		bnw*	aanwezige; aanweziger, aanwezigst*	A2		
de	aanwezige		znw*	aanwezigen; /*	B1*		
	aanwijzen		ww*	wijs aan, aanwees, aangewezen*	A2		
de	aanwijzing		znw*	aanwijzingen; aanwijzinkje*	B1		
de	aanwinst		znw*	aanwinsten; aanwinstje*	B2*		
de	aanzet		znw*	aanzetten; aanzetje*	B2*		
	aanzetten		ww*	aanzet, zette aan, aangezet*	B1*	aandoen; in actieve modus zetten	
	aanzetten		ww*	aanzet, zette aan, aangezet*	B1*	komen opdagen (negatief, bv. te laat)	De directeur komt altijd met een hele lijst nieuwe taken aanzetten.
	aanzetten tot		ww			doen beginnen	
	aanzien		ww; znw*	zie aan, zag aan, aangezien*	B2	afwachten	
	aanzien voor		ww			beschouwen als, denken dat 	
het	aanzien		ww; znw*	/; /*	B1	invloed, gezag	Heeft de Nederlandse koning veel aanzien?
het	aanzien		ww; znw*	/; /*	B1	respect dat je voor iemand/iets hebt	Flixbus is in mijn aanzien gestegen… Er is wifi!
	aanzienlijk		bnw*	aanzienlijke; aanzienlijker, aanzienlijkst*	B1	veel, duidelijk (te zien)	Het nieuwe model is aanzienlijk kleiner.
de	aap		znw*	apen; aapje*	A2*		
de	aard		znw*	/; aardje*	B1	karakter, type	
de	aardappel		znw*	aardappels; aardappeltje*	A1	🥔 bruine groente	Met aardappels maak je frietjes.
de	aardbei		znw*	aardbeien; aardbeitje*	A2*	🍓	
de	aardbeving		znw*	aardbevingen; aardbevinkje*	B1*		
de	aarde		znw*	aardes; /*	A2	wereld; grond	De aarde is rond.
het	aardewerk		bnw; znw*	aardewerken; /*	B2*		
het	aardgas		znw*	aardgassen; /*	B2*		
	aardig		bnw*	aardige; aardiger, aardigst*	A2	vriendelijk	Francis is een aardige man.
	aardig		bnw*	aardige; aardiger, aardigst*	A2*	best, nogal, vrij veel	Je kan al aardig Nederlands!
de	aardolie		znw*	aardoliën; /*	B2*		
de	aardrijkskunde		znw*	/; /*	B1*		
	aards		bnw*	aardse; aardser, aardst*	B2*	van op de aarde	
	aarzelen		ww*	aarzel, aarzelde, geaarzeld*	B1	twijfelen, niet weten wat je moet zeggen/doen	
de	aas		znw; znw*	azen; aasje*	B1*	🂡 1 of A	
het	aas		znw; znw*	azen; aasje*	B1*	eten (bv. wormen) om vissen te vangen	
het	aas		znw; znw*	azen; aasje*	B1*	prooi, eten voor wilde dieren	
het	abces		znw*	abcessen; abcesje*	B2*		
de	abdij		znw*	abdijen; /*	B2*		
het	abdijbier		znw*	abdijbieren; abdijbiertje*	B2*		
de	abdijkaas		znw				
het	ABN		znw*	/; /*	B2*	oude term voor Standaardnederlands	
	abnormaal		bnw*	abnormale; abnormaler, abnormaalst*	B2*	vreemd, niet normaal	
de	abonnee		znw*	abonnees; abonneetje*	B1*		
het	abonnement		znw*	abonnementen; abonnementje*	B1*		
	abonneren		ww*	abonneer, abonneerde, geabonneerd*	B1*		
de	abortus		znw*	abortussen; /*	B1*		
de	abrikoos		znw; znw*	abrikozen; abrikoosje*	B2*	soort geel, rond fruit	
	abrupt		bnw*	abrupte; abrupter, abruptst*	B2*		
	absent		bnw*	absente; absenter, absentst*	B2*	afwezig	
het	absenteïsme		znw*	/; /*	B2*	herhaaldelijke of problematische afwezigheid	
